(71, 221, 135)
(46, 189, 83)
(2, 111, 116)
(183, 25, 18)
(71, 51, 11)
(132, 127, 122)
(13, 204, 226)
(188, 229, 70)
(66, 183, 207)
(192, 73, 217)
(128, 128, 31)
(10, 38, 32)
(74, 87, 152)
(11, 47, 70)
(91, 184, 144)
(49, 201, 186)
(2, 134, 155)
(88, 136, 246)
(63, 29, 246)
(6, 185, 49)
(193, 66, 182)
(160, 254, 25)
(103, 50, 178)
(129, 192, 188)
(195, 73, 150)
(241, 183, 218)
(108, 177, 203)
(3, 167, 174)
(75, 141, 212)
(148, 232, 167)
(159, 178, 31)
(148, 37, 123)
(197, 225, 73)
(250, 228, 147)
(210, 37, 212)
(144, 231, 146)
(97, 237, 14)
(230, 35, 58)
(56, 100, 167)
(190, 159, 138)
(43, 11, 71)
(173, 10, 122)
(8, 130, 156)
(170, 32, 67)
(33, 235, 109)
(2, 208, 202)
(208, 160, 70)
(225, 237, 197)
(111, 12, 23)
(173, 165, 138)
(85, 194, 89)
(129, 11, 128)
(32, 103, 81)
(88, 24, 4)
(75, 208, 127)
(224, 113, 98)
(15, 48, 167)
(116, 151, 126)
(18, 255, 242)
(64, 164, 200)
(142, 87, 198)
(174, 18, 8)
(47, 247, 253)
(192, 47, 58)
(71, 240, 64)
(155, 14, 30)
(215, 115, 211)
(82, 174, 149)
(19, 254, 95)
(43, 252, 30)
(98, 84, 35)
(85, 130, 83)
(68, 44, 110)
(195, 26, 163)
(220, 46, 85)
(28, 149, 218)
(21, 134, 111)
(28, 251, 33)
(91, 241, 168)
(229, 63, 248)
(93, 0, 240)
(140, 159, 99)
(198, 149, 16)
(231, 225, 101)
(202, 62, 141)
(159, 48, 231)
(177, 124, 240)
(1, 149, 165)
(197, 207, 116)
(96, 206, 90)
(107, 36, 130)
(163, 198, 45)
(192, 27, 97)
(246, 47, 30)
(39, 114, 245)
(176, 98, 9)
(179, 237, 53)
(129, 175, 182)
(206, 147, 175)
(10, 101, 36)
